 0.1738000000000000E+07, 0.4900280023800000E+13, 0.0000000000000000E+00,  150,  150,    1, 0.0000000000000000E+00, 0.0000000000000000E+00                                                                                                         
    2,    0,-0.9089014554764100E-04, 0.0000000000000000E+00, 0.5343750000000000E-08, 0.0000000000000000E+00             
    2,    1,-0.2962035731046400E-07,-0.2771462551124100E-07, 0.7718910000000001E-08, 0.4357110000000000E-08             
    2,    2, 0.3463209197454500E-04, 0.2378299746518700E-07, 0.3742570000000000E-08, 0.4191630000000000E-08             
    3,    0,-0.3244959502940100E-05, 0.0000000000000000E+00, 0.1242210000000000E-07, 0.0000000000000000E+00             
    3,    1, 0.2638546585791100E-04, 0.5511502702316700E-05, 0.1119700000000000E-07, 0.7312380000000000E-08             
    3,    2, 0.1419184496886400E-04, 0.4945406443569900E-05, 0.1137950000000000E-07, 0.9391640000000000E-08             
    3,    3, 0.1228156262628300E-04,-0.1839431703060400E-05, 0.6442820000000000E-08, 0.7793890000000000E-08             
    4,    0, 0.3286677705377900E-05, 0.0000000000000000E+00, 0.1366020000000000E-07, 0.0000000000000000E+00             
    4,    1,-0.5978220671973900E-05, 0.1732150239313400E-05, 0.2390350000000000E-07, 0.1004150000000000E-07             
    4,    2,-0.7150750504858500E-05,-0.6926698842099400E-05, 0.1652940000000000E-07, 0.1899230000000000E-07             
    4,    3,-0.1359494330276600E-05,-0.1353788982144300E-04, 0.1529940000000000E-07, 0.1470800000000000E-07             
    4,    4,-0.6001625509050200E-05, 0.4019687004212900E-05, 0.1068440000000000E-07, 0.1123460000000000E-07             
    5,    0,-0.2530738911215300E-06, 0.0000000000000000E+00, 0.1974570000000000E-07, 0.0000000000000000E+00             
    5,    1,-0.1144612699865300E-05,-0.4213481706608200E-05, 0.2157310000000000E-07, 0.1466570000000000E-07             
    5,    2, 0.4419087743695900E-05, 0.9333325566302101E-06, 0.2605070000000000E-07, 0.2124120000000000E-07             
    5,    3, 0.5473673005577500E-06, 0.8930776630434000E-05, 0.2832700000000000E-07, 0.3132750000000000E-07             
    5,    4, 0.2743189537870700E-05, 0.1745584469860900E-06, 0.2299380000000000E-07, 0.2304410000000000E-07             
    5,    5, 0.3046957935643200E-05,-0.2875372709837300E-05, 0.1678610000000000E-07, 0.1704920000000000E-07             
    6,    0, 0.3691944768754000E-05, 0.0000000000000000E+00, 0.1820680000000000E-07, 0.0000000000000000E+00             
    6,    1, 0.1642643420624700E-05,-0.2646496693247800E-05, 0.2226690000000000E-07, 0.1205440000000000E-07             
    6,    2,-0.4232774628189900E-05,-0.2046456661732500E-05, 0.2672800000000000E-07, 0.2717270000000000E-07             
    6,    3,-0.3372816617059400E-05,-0.3307713002686400E-05, 0.3388330000000000E-07, 0.3500520000000000E-07             
    6,    4, 0.1689057613895000E-06,-0.4346605277014900E-05, 0.4884770000000000E-07, 0.4886050000000000E-07             
    6,    5, 0.1433698728745400E-05,-0.1044092629689900E-04, 0.3446020000000000E-07, 0.3567540000000000E-07             
    6,    6,-0.4560225735262300E-05, 0.7368941270839600E-05, 0.2398870000000000E-07, 0.2446480000000000E-07             
    7,    0, 0.5694973689713100E-05, 0.0000000000000000E+00, 0.2302510000000000E-07, 0.0000000000000000E+00             
    7,    1, 0.7586528721898500E-05,-0.1767726915599300E-06, 0.3180450000000000E-07, 0.1453330000000000E-07             
    7,    2,-0.7755759766543001E-06, 0.2381876303361500E-05, 0.2387280000000000E-07, 0.2218070000000000E-07             
    7,    3, 0.4161140224749300E-06, 0.2289895669948200E-05, 0.4248890000000000E-07, 0.3986780000000000E-07             
    7,    4,-0.8552059986526700E-06, 0.7092974845761500E-06, 0.5430120000000000E-07, 0.5726570000000000E-07             
    7,    5, 0.9966363903880399E-07, 0.1400394073057100E-05, 0.7718300000000000E-07, 0.7654680000000001E-07             
    7,    6,-0.9627453887634200E-06, 0.1209220047845800E-05, 0.5109190000000000E-07, 0.5283300000000000E-07             
    7,    7,-0.1989445029122800E-05,-0.1750367372589200E-05, 0.3289840000000000E-07, 0.3379800000000000E-07             
    8,    0, 0.2288257506391400E-05, 0.0000000000000000E+00, 0.3193360000000000E-07, 0.0000000000000000E+00             
    8,    1,-0.6894210225220001E-07, 0.1004944467192400E-05, 0.5048850000000000E-07, 0.1793260000000000E-07             
    8,    2, 0.3001644547434300E-05, 0.2157063312841000E-05, 0.3567770000000000E-07, 0.2964780000000000E-07             
    8,    3,-0.1878160722937500E-05, 0.1150315952768900E-05, 0.3721630000000000E-07, 0.3717320000000000E-07             
    8,    4, 0.3633517193422200E-05,-0.5259209533612100E-06, 0.6666200000000000E-07, 0.6296830000000000E-07             
    8,    5,-0.1053987459093800E-05, 0.2881649739617300E-05, 0.8782460000000000E-07, 0.9144590000000000E-07             
    8,    6,-0.2091722932499600E-05,-0.2502129410501800E-05, 0.1140210000000000E-06, 0.1140230000000000E-06             
    8,    7,-0.1734174996291900E-05, 0.3112286922494400E-05, 0.7144550000000000E-07, 0.7310170000000000E-07             
    8,    8,-0.2320600611591000E-05, 0.2276247017628000E-05, 0.4157320000000000E-07, 0.4317930000000000E-07             
    9,    0,-0.3468664994639200E-05, 0.0000000000000000E+00, 0.4708920000000000E-07, 0.0000000000000000E+00             
    9,    1, 0.2113953570939600E-05, 0.2522720492003800E-06, 0.4863760000000000E-07, 0.2533190000000000E-07             
